Depth,Age,Temperature
134.5,13800,27.4
135.5,13860,28.47
136.5,13930,27.61
137.5,13990,27.37
138.5,14060,27.78
139.5,14120,27.87
140.5,14180,27.38
141.5,14250,27.11
142.5,14310,27.35
143.5,14380,27.07
144.5,14440,27.55
145.5,14600,27.71
146.5,14770,27.53
147.5,14930,27.6
148.5,15090,27.75
149.5,15250,27.11
150.5,15420,27.64
151.5,15580,27.15
152.5,15740,27.75
153.5,15900,27.74
154.5,16070,27.4
155.5,16230,27.53
156.5,16390,26.64
157.5,16460,27.16
158.5,16530,27.2
159.5,16590,26.06
160.5,16660,26.55
161.5,16730,26.42
162.5,16800,26.28
163.5,16870,26.55
164.5,16940,26.48
165.5,17000,26.34
166.5,17070,26.44
167.5,17140,26.36
168.5,17210,26.29
169.5,17280,25.91
170.5,17340,25.82
171.5,17410,25.77
172.5,17480,25.99
173.5,17550,25.92
174.5,17620,25.81
175.5,17680,25.4
176.5,17750,25.37
177.5,17820,25.92
178.5,17890,25.85
179.5,17960,25.73
180.5,18030,25.41
181.5,18090,25.27
182.5,18160,25.59
183.5,18230,25.33
184.5,18300,25
185.5,18370,25.29
186.5,18430,25.28
187.5,18500,24.93
188.5,18570,24.43
189.5,18700,24.64
190.5,18840,24.65
191.5,18970,24.69
192.5,19100,25.31
193.5,19230,24.96
195.5,19500,25.47
196.5,19630,25.43
197.5,19770,24.86
198.5,19900,25.7
199.5,20030,25.47
200.5,20170,25.64
201.5,20300,25.19
202.5,20430,25.64
203.5,20560,26.09
204.5,20700,25.92
205.5,20830,25.17
206.5,20960,25.51
207.5,21100,25.54
208.5,21230,25.23
209.5,21360,26.25
210.5,21500,25.82
211.5,21630,25.66
212.5,21760,25.78
213.5,21890,25.62
214.5,22030,25.88
215.5,22160,25.92
216.5,22290,26.04
217.5,22430,26.3
218.5,22560,26.1
219.5,22690,26.29
220.5,22820,25.97
221.5,22960,26.09
222.5,23090,26
223.5,23220,25.84
224.5,23360,25.57
225.5,23490,25.57
226.5,23620,26.21
227.5,23760,26.21
228.5,23890,25.73
229.5,24020,25.43
230.5,24150,25.31
231.5,24290,25.84
232.5,24420,25.58
233.5,24550,25.76
234.5,24690,25.56
235.5,24820,25.72
236.5,24950,26.38
237.5,25090,25.65
238.5,25220,24.78
239.5,25350,25.01
240.5,25480,24.83
241.5,25620,25.39
242.5,25750,25.48
243.5,25880,25.24
244.5,26020,25.08
245.5,26150,25.76
246.5,26280,26.01
247.5,26410,25.58
248.5,26550,25.27
249.5,26680,25.66
250.5,26810,26.06
251.5,26950,25.71
252.5,27080,25.67
253.5,27210,26.2
254.5,27350,26.19
255.5,27480,26.44
256.5,27610,26.05
257.5,27740,26.14
258.5,27880,26.29
259.5,28010,26.7
260.5,28140,26.02
261.5,28280,26.32
262.5,28410,25.55
263.5,28540,25.83
264.5,28670,25.55
265.5,28810,25.99
266.5,28940,26.78
267.5,29070,26.15
268.5,29210,26.21
269.5,29340,26.24
270.5,29470,26.46
271.5,29610,25.5
272.5,29740,25.93
273.5,29870,26.24
274.5,30000,26.12
276.5,30270,25.99
277.5,30400,25.81
278.5,30540,25.98
279.5,30670,25.76
280.5,30800,24.92
281.5,30940,26.16
282.5,31070,25.69
283.5,31200,25.61
285.5,31470,25.73
286.5,31600,26.46
,,
,,
,,
,,
,,
