,time,NH,NM,Tropical,SM,SH,AN,AS,land,sea
144,14400,1.78019154,1.044454679,-0.336489998,-0.843129497,-4.014642595,1.264760067,-1.522739447,0.211279247,0.4211833
145,14500,0.840025615,0.440189347,-0.487034014,-0.758165777,-4.126163706,0.559914331,-1.479879619,-0.399115825,-0.022405028
146,14600,-0.921416262,-0.338654307,-0.593772045,-0.743045633,-3.894831595,-0.51315365,-1.418428339,-1.311799072,-0.739669488
147,14700,-2.895910475,-1.4899343,-0.765803299,-0.600169074,-3.67780604,-1.910932816,-1.25966271,-2.408901346,-1.5003053
148,14800,-3.758731362,-2.161685358,-0.875968585,-0.610309589,-3.965434484,-2.639896874,-1.329264923,-2.97073205,-1.931306685
149,14900,-4.117228192,-2.274406215,-0.862680394,-0.669136504,-4.029331373,-2.826211666,-1.389178261,-3.108007804,-2.063074476
150,15000,-4.258974201,-2.370411828,-0.889947823,-0.699439648,-4.088956373,-2.935913555,-1.425764661,-3.204358857,-2.140982185
151,15100,-3.886101962,-2.02289121,-0.91308449,-0.677654347,-4.229865817,-2.580801774,-1.438842519,-3.023365319,-2.017215805
152,15200,-4.130364186,-2.190321905,-0.952940664,-0.762198734,-4.293427706,-2.77123852,-1.518890657,-3.190187022,-2.123119796
153,15300,-4.426099285,-2.336588679,-0.996878442,-0.806333453,-4.398518262,-2.962261346,-1.576087341,-3.357160061,-2.250729703
154,15400,-4.727328094,-2.506209379,-1.045168315,-0.880223176,-4.565636928,-3.171290124,-1.669954695,-3.576912015,-2.423085798
155,15500,-4.928298315,-2.628268522,-1.061682458,-0.90622552,-4.741100706,-3.316978008,-1.727984488,-3.759839495,-2.494220583
156,15600,-5.411731328,-2.801473526,-1.129807696,-1.007420413,-4.950315817,-3.583076145,-1.852326571,-3.988924429,-2.673144192
157,15700,-5.623755311,-2.934542164,-1.156232204,-1.079928914,-5.000655151,-3.739786779,-1.920084536,-4.142261972,-2.770772222
158,15800,-5.83048633,-2.992035754,-1.17810495,-1.112141979,-5.266812595,-3.841967282,-2.00242854,-4.274587007,-2.861344036
159,15900,-6.005319189,-3.189745317,-1.23505549,-1.205194848,-5.457844484,-4.032826759,-2.116476912,-4.455945661,-2.998688726
160,16000,-6.354811457,-3.269689308,-1.25483795,-1.215237483,-5.684261595,-4.193482946,-2.172885507,-4.595330579,-3.100971573
161,16100,-6.440349966,-3.331262735,-1.292642442,-1.326599066,-5.745245817,-4.262232358,-2.273451941,-4.70877659,-3.128258098
162,16200,-6.674412153,-3.427603496,-1.336299744,-1.382292079,-5.91665104,-4.399811738,-2.353940428,-4.825820703,-3.251902669
163,16300,-6.744116111,-3.546132779,-1.391485855,-1.446698239,-6.190788706,-4.503721008,-2.463289053,-4.94269141,-3.348472781
164,16400,-6.89640079,-3.64722632,-1.42600376,-1.532168732,-6.310546151,-4.62014297,-2.556106751,-5.066874771,-3.435280427
165,16500,-7.13455257,-3.826768712,-1.457924918,-1.594289095,-6.462493595,-4.817235065,-2.637475774,-5.258253045,-3.543692994
166,16600,-7.332335721,-3.952504444,-1.463422617,-1.592512876,-6.481181817,-4.964544318,-2.640084792,-5.389904635,-3.590734138
167,16700,-7.530044796,-4.022207531,-1.496002633,-1.67978373,-6.635097151,-5.072576882,-2.741636606,-5.492110519,-3.664894237
168,16800,-7.7404044,-4.116571512,-1.528724204,-1.727061555,-6.738441817,-5.201674015,-2.800928754,-5.634548989,-3.741122049
169,16900,-8.112267947,-4.22741187,-1.560703045,-1.779215545,-6.967092151,-5.390673859,-2.890903389,-5.827395741,-3.824078675
170,17000,-7.960300409,-4.162513706,-1.571354585,-1.836119416,-7.09454104,-5.299704075,-2.962924049,-5.766842018,-3.805713126
171,17100,-8.36945922,-4.182987795,-1.597059871,-1.950752333,-7.308818928,-5.436563984,-3.098909461,-5.93614239,-3.901015893
172,17200,-8.476813475,-4.1398597,-1.586085204,-2.033506823,-7.533511595,-5.438495576,-3.212079274,-5.964495629,-3.903364835
173,17300,-8.162777579,-3.984456188,-1.616014109,-2.109597564,-7.792483262,-5.235591972,-3.327358785,-5.845824187,-3.837303886
174,17400,-8.071524928,-3.796567133,-1.579043283,-2.18222733,-7.945821484,-5.076639241,-3.41728322,-5.755789115,-3.712716685
175,17500,-7.798140211,-3.500514838,-1.565817347,-2.29103312,-8.031022707,-4.787374413,-3.521030889,-5.550054126,-3.593271065
176,17600,-8.034573985,-3.4881128,-1.58241022,-2.355460604,-8.119564151,-4.849482533,-3.59062565,-5.663791331,-3.608620788
177,17700,-7.635190558,-3.339649947,-1.588652982,-2.392881744,-8.278868707,-4.625885271,-3.654164664,-5.500651152,-3.519184202
178,17800,-7.708807381,-3.251091207,-1.602362521,-2.474267688,-8.446403595,-4.585887576,-3.754011097,-5.505337384,-3.49409418
179,17900,-7.494329634,-3.092481921,-1.555890585,-2.600626003,-8.544955485,-4.410549315,-3.874410892,-5.397339797,-3.409355814
180,18000,-7.271822119,-2.880748275,-1.539688664,-2.622020306,-8.606007818,-4.195589596,-3.904303344,-5.232112271,-3.298150444
181,18100,-7.111200598,-2.772158556,-1.531390299,-2.609076433,-8.687493818,-4.071419733,-3.911594444,-5.159105421,-3.216909192
182,18200,-7.042067809,-2.676407881,-1.530426109,-2.625510542,-8.706678151,-3.983639385,-3.928617887,-5.082189153,-3.189418063
183,18300,-6.913318817,-2.56388563,-1.486940601,-2.708034261,-8.701008707,-3.866258279,-3.99224307,-4.991500961,-3.124940243
184,18400,-6.736434973,-2.351044458,-1.454699379,-2.645199345,-8.726605707,-3.664183991,-3.948357851,-4.813191337,-3.031345989
185,18500,-6.96324606,-2.614517176,-1.506067855,-2.651931648,-8.86883304,-3.916678932,-3.984124804,-5.042077465,-3.144129347
186,18600,-7.383157513,-2.659257769,-1.511768617,-2.718359527,-8.846218151,-4.073758822,-4.03147209,-5.240053652,-3.185121432
187,18700,-7.326578324,-2.644672792,-1.480232426,-2.819489451,-8.864568818,-4.046599307,-4.114863601,-5.229253697,-3.198756883
188,18800,-7.398733305,-2.723491163,-1.514650347,-2.801448409,-9.068429374,-4.123422426,-4.144372901,-5.305311478,-3.203190137
189,18900,-7.2825328,-2.543997639,-1.479318188,-2.861332736,-9.175510707,-3.962881049,-4.214370873,-5.181233967,-3.168152463
190,19000,-7.104251719,-2.447290118,-1.472358966,-2.899495109,-9.279054596,-3.841747547,-4.26654357,-5.084971728,-3.084074497
191,19100,-6.753704068,-2.212348255,-1.460041807,-2.893137964,-9.28355804,-3.572189261,-4.262513694,-4.873078666,-2.956199382
192,19200,-6.761661947,-2.195198744,-1.434109537,-2.877250454,-9.35130804,-3.562557782,-4.264548509,-4.886311623,-2.923450244
193,19300,-6.956034626,-2.288607353,-1.453063791,-2.948094351,-9.250250151,-3.686198571,-4.298556309,-4.987110668,-2.993486141
194,19400,-6.763618864,-2.258438955,-1.41221268,-2.918073018,-9.327159485,-3.607447629,-4.29144869,-4.91951043,-2.942861372
195,19500,-6.746131037,-2.203858827,-1.411261807,-2.935892267,-9.285268707,-3.563974235,-4.296472932,-4.877313424,-2.939676399
196,19600,-6.809042207,-2.176059124,-1.410634426,-2.905658503,-9.324117929,-3.563336544,-4.281042666,-4.888315096,-2.929980081
197,19700,-6.698173777,-2.122771481,-1.397201252,-2.961871358,-9.303862151,-3.492807197,-4.320869385,-4.81232174,-2.901766604
198,19800,-6.907944579,-2.210204274,-1.399333696,-2.889950273,-9.212215485,-3.616872275,-4.24472139,-4.900945903,-2.948230531
199,19900,-6.803549104,-2.157385307,-1.392654426,-2.90139757,-9.256862929,-3.548609495,-4.263283004,-4.853507887,-2.906643207
200,20000,-6.927225213,-2.163709859,-1.408928601,-2.856837721,-9.503935485,-3.590073213,-4.281215813,-4.90341667,-2.937820011
201,20100,-7.012049524,-2.294293652,-1.400447506,-2.930753506,-9.485426929,-3.706955015,-4.335326382,-5.027051155,-2.990154507
202,20200,-7.061551317,-2.254530775,-1.443772077,-2.97711903,-9.459128818,-3.693921107,-4.366121128,-5.007184022,-3.041436403
203,20300,-7.391182598,-2.464351288,-1.460236029,-3.008666339,-9.665689707,-3.93961716,-4.435171347,-5.208254404,-3.16287978
204,20400,-7.042261673,-2.269765615,-1.422996887,-2.929699891,-9.532981929,-3.698818107,-4.344688899,-5.000990381,-3.026474431
205,20500,-7.148941962,-2.335697651,-1.423876791,-2.98210563,-9.618892596,-3.776951597,-4.404274266,-5.073943515,-3.08002709
206,20600,-7.407839322,-2.400932608,-1.421523331,-2.999063097,-9.565542374,-3.900175861,-4.406165799,-5.166173597,-3.134166161
207,20700,-7.471501821,-2.384838347,-1.449125839,-2.967959142,-9.716678151,-3.907963568,-4.414113216,-5.189919371,-3.143173608
208,20800,-7.3499349,-2.380524703,-1.447115474,-3.023359988,-9.629941818,-3.868540185,-4.439056094,-5.145177367,-3.14876837
209,20900,-7.435609937,-2.397532225,-1.417179855,-2.990613858,-9.624575151,-3.906109167,-4.412176992,-5.163989234,-3.139762167
210,21000,-7.530214243,-2.361323867,-1.38404968,-2.954372958,-9.735637485,-3.909070703,-4.40750107,-5.172638459,-3.135286544
211,21100,-7.376354983,-2.329235874,-1.390542268,-2.981444364,-9.59087204,-3.840520127,-4.397750294,-5.113391373,-3.117538411
212,21200,-7.286183434,-2.276892086,-1.373919918,-3.001430558,-9.641765262,-3.776849382,-4.424359423,-5.070368552,-3.082375821
