id,name,min_yr,max_yr,total_record,resolution,record_holocene,record_deglacier,resolution_holocene,resolution_deglacier
125,DempsterPeatland.Porter.2019.lpd.csv,-63,13585,71,192.2253521,63,8,158.4603175,481.875
126,Devils.Shuman.2016.lpd.csv,7,14735,122,120.7213115,89,33,111.8651685,148.5757576
127,DevonIslandGlacier.McAndrews.1984.lpd.csv,-23,41756,112,373.0267857,110,2,79.2,17575
128,Dome F.csv,700,12200,24,479.1666667,19,5,473.6842105,600
129,DomeC_shakun.csv,92,30016,294,101.7823129,99,195,99.87878788,103.2871795
130,DomeF.Uemura.2018.lpd.csv,-45,129960.07,1762,73.7826731,306,1456,32.80781046,82.42083104
131,DomeF_shakun.csv,700,30200,60,491.6666667,19,41,473.6842105,512.195122
132,Donvold.Nilssen.1983.lpd.csv,28,9479.67,48,196.9097917,48,0,196.9097917,0
133,Duck.Winkler.1985.lpd.csv,11,13541,42,322.1428571,32,10,311.8125,372.4
134,Dura-Moor.Seiwald.1980.lpd.csv,111.78,12522.74,101,122.8807921,80,21,122.87625,127.9104762
135,Duranunlak.EPD.lpd.csv,368.48,11501.21,36,309.2425,32,4,272.65875,852.7075
136,DYE3.Dahl-Jensen.1998.lpd.csv,-34,34434,44,783.3636364,35,9,249.6285714,2996.777778
137,EagleTarn.Rees.2010.lpd.csv,29.809,15139.173,72,209.8522778,53,19,187.2568868,281.5604737
138,EC1.Gajewski.1993.lpd.csv,58,6610,32,204.75,32,0,204.75,0
139,EC2.Gajewski.1991.lpd.csv,59,6359,38,165.7894737,38,0,165.7894737,0
140,EDML.csv,100,12900,129,99.2248062,100,29,99,103.4482759
141,EDML.Stenni.2010.lpd.csv,1193,12992,1253,9.41660016,993,260,8.868076536,11.55384615
142,EDML_shakun.csv,1296,29998,282,101.7801418,87,195,99.88505747,103.1230769
143,Egelsee.Larocque.2010.lpd.csv,81.564,16192.857,86,187.3406163,47,39,204.6463191,170.5031282
144,ELake.Ritchie.1976.lpd.csv,-18,12890,55,234.6909091,46,9,211.326087,408.5555556
145,Eldora.Maher.1969.lpd.csv,9,8639.9,44,196.1568182,44,0,196.1568182,0
146,Elfstadalsvatn.Langdon.2008.lpd.csv,4234.52,10840.288,26,254.068,19,7,293.2947368,194.424
147,EN32-PC6_shakun.csv,8330,22210,85,163.2941176,6,79,240,161.1392405
148,EN32_PC6.Flower.2004.lpd.csv,8330,22210,97,143.0927835,7,90,205.7142857,141.4444444
