time,ne_labrador,se_usa,midwest,rocky_mt,w_usa,c_canada,alaska_yukon,greenland,mediterranean,scandinavia,uk,c_north_europe,iceland,siberia,e_china_japan,tibet,se_asia,australia,new_zealand,n_indian_ocean,e_africa,s_africa,w_africa,c_atlantic,s_atlantic,e_pacific,chile,antarctica,russian_far_east,carribean,se_brazil
6600,0.906387796,0.487943033,0.789523761,0.931503191,1.018466725,0.741579196,1.658683735,1.192758887,0.935156062,0.948199218,1.29155418,0.93027795,1.131030848,4.461802635,0.62949929,0.902027921,0.338728541,0.051161984,0.093321773,0.317376787,0.110877488,0.071377153,0.145604922,0.136135451,0.209796369,0.195316007,0.016670392,1.640409865,4.592392307,0.359419658,0.072866805
6700,0.841526293,0.631953162,0.779961428,0.889021271,0.890963108,0.899577376,2.255171955,1.200603887,0.935382777,1.08173446,1.353639443,1.048907557,1.258680705,4.549044278,0.745481744,0.873264733,0.309936541,0.04556085,0.098768148,0.307223912,0.161084942,0.085964582,0.153977122,0.131397951,0.314572782,0.183626907,0.072934235,1.653390326,4.584237619,0.323066325,-0.002450695
6800,0.628980151,0.604700818,0.692798141,0.815386451,0.825472325,0.69893247,1.570170702,1.004721172,0.424667934,1.027382494,0.742059593,0.736495201,0.827857705,4.30790202,0.547919498,0.720320733,0.345143541,0.110930217,0.183711911,0.234043912,0.156655397,0.161814439,0.158024122,0.146011451,0.261504082,0.184909307,0.125464021,1.546438942,3.553452019,0.318130992,0.071024305
6900,0.541679501,0.579238451,0.522159168,0.668119931,0.692178992,0.473671036,1.541766741,0.69420853,0.49524212,0.887761903,0.705719555,0.684866046,0.604054277,3.949792002,0.584778575,0.792023671,0.302792541,0.071852317,0.034126736,0.199609287,0.175615215,0.119991868,0.125412922,0.121439451,0.325280294,0.206379007,0.107118264,1.503568942,3.167045207,0.313411992,0.064757805
7000,0.58446301,0.452080862,0.497742645,0.553885351,0.630026808,0.429509446,1.708749463,0.671153315,0.524248796,0.605069937,0.513978418,0.395095051,0.49329742,3.923671135,0.49903396,0.761932546,0.212078723,0.130585217,0.181289036,0.219834412,0.170256579,0.136407296,0.128653722,0.107270951,0.284028032,0.181764507,0.144701521,1.590692557,2.933805266,0.305738658,-0.071774195
7100,0.728065046,0.513666806,0.500069554,0.589707771,0.640235208,0.663119729,1.893484362,0.811832101,0.598875853,0.629106141,0.780851368,0.555853802,0.700030563,4.045743246,0.591872936,0.766098421,0.172145041,0.081935517,0.169670923,0.202977037,0.152382942,0.137398582,0.125187322,0.082721285,0.301643532,0.189969907,0.131470649,1.47474248,3.235520457,0.283958658,-0.021865195
7200,0.553307669,0.436963975,0.495354215,0.644725051,0.515925758,0.439553026,1.608526697,0.777253172,0.706672058,0.902761037,0.964646093,0.875540224,0.83970742,3.902755363,0.518644483,0.899584046,0.206835496,0.15670265,0.201360098,0.217471162,0.14146867,0.145362582,0.138381722,0.107478618,0.352667532,0.190191507,0.167281149,1.551312518,3.142376444,0.275385325,0.090182805
7300,0.399553642,0.498148873,0.355633921,0.406510331,0.418350325,0.316811152,1.288446568,0.683960744,0.449482124,0.67524156,0.64006463,0.540195161,0.705310777,3.501696268,0.423168667,0.779811296,0.185212405,0.12137765,0.161721348,0.201006537,0.125774488,0.093481725,0.100561322,0.087177618,0.384193769,0.169628207,0.169010735,1.537231634,2.225512779,0.300833658,0.179708805
7400,0.435807524,0.398263162,0.436522374,0.479074011,0.505725825,0.251940586,1.424360699,0.506899172,0.54552941,0.387146446,0.476989055,0.302668634,0.454161563,3.463778042,0.415392713,0.693764546,0.124831587,0.105029317,0.070076148,0.166680662,0.072060579,0.119687296,0.086758122,0.063789951,0.422581657,0.131520007,0.133565835,1.450699788,2.697525557,0.256193992,0.282814805
7500,0.518106505,0.45242036,0.433006756,0.583459231,0.634044225,0.455115447,1.565224447,0.893252458,0.3488708,1.016520198,0.626742518,0.647485151,0.713761277,3.988979242,0.471185198,0.726040483,0.26088695,0.091351984,0.046864386,0.161273037,0.09960167,0.082851725,0.096883522,0.135191951,0.283553794,0.129066407,0.087078549,1.401432018,3.181597932,0.209577658,0.169064805
7600,0.563930715,0.450018862,0.493749127,0.555095111,0.566278542,0.548617399,1.776221368,0.817156601,0.62906541,1.086107341,0.893698505,0.840407997,0.767414705,4.016940499,0.433872236,0.667204546,0.243964541,0.060661517,0.017133648,0.211941412,0.073499761,0.044457582,0.086051322,0.072149451,0.261153094,0.075334707,0.067856478,1.301249326,3.361282819,0.170664658,0.213272305
7700,0.565266365,0.490150435,0.516027472,0.659043811,0.519555158,0.498330969,1.739833835,0.796537672,0.570867181,0.786541356,0.635191818,0.611725521,0.66946642,3.297471942,0.463837544,0.710178046,0.292038041,0.076783117,0.085041311,0.232212037,0.115162942,0.045026153,0.142810122,0.113029118,0.252078607,0.139731107,0.064325564,1.337262634,2.790137082,0.264835658,0.162663805
