u_id,group_id,lat,lon,sitename,filename,elevation,country,gcmd_location,author,pub_year,title,journal,archive_type,min_yr,max_yr,proxy,num_record,num_control,url,process_group,resolution,collected,shakun,marcott,new,filename,uploader,source,proxy_category
47,47,-3.986,-81.3087,KNR195_5_CDH26,KNR195_5_CDH26.Bova.2015.lpd,-1023,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Bova, Samantha C.; Herbert, Timothy; Rosenthal, Yair; Kalansky, Julie; Altabet, Mark; Chazen, Caitlin; Mojarro, Angel; Zech, Jana",2015,Links between eastern equatorial Pacific stratification and atmospheric CO2 rise during the last deglaciation,Paleoceanography,MarineSediment,1366.28,25831.26,alkenone,504,5,www.ncdc.noaa.gov/paleo/study/19684,wave3,48.54162698,NA,NA,NA,NA,KNR195_5_CDH26.Bova.2015.lpd.csv,LipD,LipD,alkenone
49,49,68.52,14.87,Liltlvatn,Liltlvatn.Seppa.2009.lpd,106,Europe>Northern Europe>Scandinavia>Norway,Europe>Northern Europe>Scandinavia>Norway,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past,LakeSediment,-45,8779.86,pollen,38,5,www.ncdc.noaa.gov/paleo/study/15444,wave3,232.2331579,NA,NA,NA,NA,Liltlvatn.Seppa.2009.lpd.csv,LipD,LipD,pollen
50,50,59.2,-135.4,Lily,Lily.Cwynar.1990.lpd,230,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Cwynar, Les C.",1990,"A late Quaternary vegetation history from Lily Lake, Chilkat Peninsula, southeast Alaska",Canadian Journal of Botany,LakeSediment,54,12740,pollen,62,17,www.ncdc.noaa.gov/paleo/study/15444,wave3,204.6129032,NA,NA,NA,NA,Lily.Cwynar.1990.lpd.csv,LipD,LipD,pollen
51,51,58.9383,-20.4083,LO09-14,LO09-14.Berner.2008.lpd,-1685,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Berner, K. S.; Ko_陇, N.; Divine, D.; Godtliebsen, F.; Moros, M.",2008,A decadal-scale Holocene sea surface temperature record from the subpolar North Atlantic constructed using diatoms and statistics and its relation to other climate parameters,Paleoceanography,MarineSediment,367.5,10976.136,diatom,329,13,www.ncdc.noaa.gov/paleo/study/15444,wave3,32.24509422,NA,NA,NA,NA,LO09-14.Berner.2008.lpd.csv,LipD,LipD,diatom
53,53,68.26,65.8,Lyadhej-To,Lyadhej-To.Andreev.2005.lpd,150,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andreev, Andrei A.; Tarasov, Pavel E.; Ilyashuk, Boris P.; Ilyashuk, Elena A.; Cremer, Holger; Hermichen, Wolf-Dieter; Wischer, Frank; Hubberten, Hans-Wolfgang",2005,"Holocene environmental history recorded in Lake Lyadhej-To sediments, polar Urals, Russia","Palaeogeography, Palaeoclimatology, Palaeoecology",LakeSediment,68.889,10888.064,pollen,60,15,this compilation,wave3,180.3195833,NA,NA,NA,NA,Lyadhej-To.Andreev.2005.lpd.csv,LipD,LipD,pollen
54,54,-17.4205,-71.769,M135_005_3,M135_005_3.Salvatteci.2019.lpd,-197,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒____ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,-47.8,11326.7,alkenone,180,5,10.1594/PANGAEA.897235,wave3,63.19166667,NA,NA,NA,NA,M135_005_3.Salvatteci.2019.lpd.csv,LipD,LipD,alkenone
55,55,-15.1035,-75.688,M77_2_003_2,M77_2_003_2.Salvatteci.2019.lpd,-271,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒____ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,784.35,17297.35,alkenone,200,5,10.1594/PANGAEA.897235,wave3,82.565,NA,NA,NA,NA,M77_2_003_2.Salvatteci.2019.lpd.csv,LipD,LipD,alkenone
56,56,-9.295,-79.6185,M77_2_029_3,M77_2_029_3.Salvatteci.2019.lpd,-433,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Salvatteci, Renato; Schneider, Ralph R.; Blanz, Thomas; Molliera芒____ogel, Elfi",2019,Deglacial to Holocene ocean temperatures in the Humboldt Current system as indicated by alkenone paleothermometry,Geophysical Research Letters,MarineSediment,800.858,17589.97,alkenone,270,5,10.1594/PANGAEA.897235,wave3,62.1818963,NA,NA,NA,NA,M77_2_029_3.Salvatteci.2019.lpd.csv,LipD,LipD,alkenone
60,60,44.5275,145.004,MD01_2412,MD01_2412.Harada.2006.lpd,-1225,Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk,Pacific Ocean>North Pacific Ocean>Sea Of Okhotsk,"Harada, Naomi; Ahagon, Naokazu; Sakamoto, Tatsuhiko; Uchida, Masao; Ikehara, Minoru; Shibata, Yasuyuki",2006,Rapid fluctuation of alkenone temperature in the southwestern Okhotsk Sea during the past 120 ky,Global and Planetary Change,MarineSediment,0,115970,alkenone,674,5,www.ncdc.noaa.gov/paleo/study/9096,wave3,172.0623145,NA,NA,NA,NA,MD01_2412.Harada.2006.lpd.csv,LipD,LipD,alkenone
62,62,34.3862,-120.0365,MD02_2503,MD02_2503.Hill.2006.lpd,-569,Pacific Ocean>North Pacific Ocean,Pacific Ocean>North Pacific Ocean,"Hill, T.M.; Kennett, J.P.; Pak, D.K.; Behl, R.J.; Robert, C.; Beaufort, L.",2006,"Pre-B  lling warming in Santa Barbara Basin, California: Surface and intermediate water records of early deglacial warmth",Quaternary Science Reviews,MarineSediment,141.492,35767,d18O,286,5,www.ncdc.noaa.gov/paleo/study/5582,wave3,124.5647133,NA,NA,NA,NA,MD02_2503.Hill.2006.lpd.csv,LipD,LipD,d18O
